MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
1.1555,19.0,5.5954,1.2086,4371.0,1.8796,39.8526,-116.796,1.6764
5.0347,15.0,7.2881,1.5645,2909.0,1.3523,36.6693,-114.1436,3.4917
4.7848,1.0,4.6514,1.0818,4327.0,4.2418,40.6567,-124.0738,1.8293
2.1421,7.0,1.1099,0.5,1839.0,2.2076,39.125,-121.9528,0.8438
1.5817,10.0,2.7839,0.7237,2890.0,1.5581,33.3947,-118.2835,0.8762
4.1606,6.0,4.8696,1.6769,1494.0,3.8511,41.7684,-120.182,1.0574
8.1657,49.0,14.2279,4.3022,1946.0,2.8339,39.7308,-117.8694,5.0
3.8415,1.0,2.9878,0.6151,4478.0,7.8223,39.9676,-118.4014,0.3
5.7081,20.0,3.5408,0.78,4972.0,1.7159,33.7171,-116.3049,4.0082
1.4979,50.0,3.4,0.642,3103.0,1.0,36.7787,-123.7626,2.9472
1.5608,6.0,1.325,0.5,1478.0,1.4691,36.0226,-119.9176,0.3
3.2547,34.0,4.9525,1.0779,4904.0,4.7806,41.3043,-115.5554,2.1547
3.9261,13.0,1.0,0.5,4594.0,1.1985,38.6167,-120.7273,2.865
2.7216,17.0,6.108,1.7982,2602.0,4.356,40.3162,-119.2606,0.5545
4.3332,23.0,7.3965,1.6408,3412.0,2.7141,36.7124,-124.2756,3.8429
3.55,30.0,1.0,0.5,2724.0,3.0029,34.6588,-122.1686,3.6597
6.5474,39.0,20.0,3.5336,881.0,2.0783,37.7686,-119.678,5.0
8.5979,32.0,1.6354,0.5,3385.0,1.0,33.1063,-120.3507,5.0
2.1029,2.0,2.4042,0.8093,1846.0,1.5316,40.3625,-117.0676,1.1326
0.5,10.0,16.6104,4.6115,3823.0,2.8771,38.5008,-118.1364,1.2583
0.8223,33.0,1.5277,0.5,2629.0,1.5266,39.7018,-115.3451,1.0753
0.8838,15.0,5.4197,1.255,4733.0,1.0,35.868,-115.6104,1.5551
2.365,4.0,6.653,1.8131,747.0,6.4696,41.7216,-121.9913,0.3
0.5354,28.0,4.1777,1.3842,235.0,4.3957,40.9847,-124.3166,0.8051
3.3078,17.0,4.1733,0.9564,2541.0,3.0271,39.8946,-115.6135,2.8267
6.1725,43.0,6.5837,1.7963,1196.0,5.1801,34.3491,-121.0771,5.0
4.5972,46.0,10.7432,3.7202,1657.0,1.3548,36.9338,-120.8901,5.0
3.4292,7.0,5.4126,1.4568,2022.0,1.9914,32.9161,-122.8527,2.0552
4.6571,40.0,14.8358,4.2792,3648.0,1.0,33.9658,-117.2927,5.0
2.3606,44.0,1.5356,0.5003,3103.0,1.6445,38.989,-121.5869,3.8361
3.8593,33.0,14.5585,3.5116,2531.0,3.7733,39.5752,-122.6619,4.1816
2.8783,32.0,3.8737,0.6278,277.0,3.5922,41.6913,-119.2647,2.2591
2.7581,24.0,14.4649,3.4365,4569.0,9.3948,35.5953,-116.6957,0.6654
7.5338,25.0,7.6904,1.357,4352.0,1.7745,36.0194,-121.6962,5.0
11.1825,5.0,2.4903,0.8161,1450.0,4.8623,36.9608,-116.9908,4.9614
0.7721,8.0,6.1464,1.8974,3421.0,7.4664,34.3,-119.6955,0.3
5.2595,35.0,1.0747,0.5,2210.0,1.3901,33.7343,-120.3008,4.391
2.8598,29.0,3.0959,0.7218,3346.0,10.0,37.0192,-120.761,0.3
1.3394,9.0,4.1999,1.2623,1707.0,3.9033,34.6556,-122.986,0.6377
